IDconv,ID,adj.P.Val,P.Value,t,B,logFC,ensembl_gene_id,hgnc_symbol
337,337_at,0.743,0.439,0.7874551,-6.061747,0.1471856,ENSG00000110244,APOA4
338,338_at,0.708,0.391,0.874362,-5.990776,0.1690846,ENSG00000084674,APOB
339,339_at,0.994,0.98,-0.0255609,-6.371163,-0.0040121,ENSG00000111701,APOBEC1
341,341_at,0.213,0.0388,-2.1881002,-4.170727,-1.5222788,ENSG00000130208,APOC1
342,342_at,0.444,0.145,-1.5076556,-5.274342,-0.2977795,ENSG00000214855,APOC1P1
343,343_at,0.759,0.467,-0.7394417,-6.09794,-0.1348577,ENSG00000103375,AQP8
345,345_at,6.89e-4,2.81e-6,6.1060518,4.743819,2.0637289,ENSG00000110245,APOC3
347,347_at,0.587,0.258,1.1602081,-5.709299,0.6159959,ENSG00000189058,APOD
348,348_at,0.656,0.328,0.9982148,-5.877706,0.4156213,ENSG00000130203,APOE
350,350_at,0.0194,8.2e-4,3.8333605,-0.634216,2.139588,ENSG00000091583,APOH
351,351_at,0.265,0.0568,-2.0026129,-4.500714,-0.2878649,ENSG00000142192,APP
353,353_at,0.189,0.0314,-2.2872915,-3.98644,-0.4874543,ENSG00000198931,APRT
354,354_at,0.413,0.126,1.585997,-5.163263,0.3046029,ENSG00000142515,KLK3
355,355_at,0.81,0.549,0.60732,-6.186258,0.1933586,ENSG00000026103,FAS
356,356_at,0.923,0.782,0.2801338,-6.331835,0.06991,ENSG00000117560,FASLG
357,357_at,0.165,0.0246,-2.400246,-3.770434,-0.5758942,ENSG00000146950,SHROOM2
358,358_at,0.922,0.779,-0.2839604,-6.330746,-0.0573186,ENSG00000240583,AQP1
359,359_at,0.134,0.0178,2.5483658,-3.477965,1.4429552,ENSG00000167580,AQP2
360,360_at,0.762,0.47,-0.7344136,-6.101605,-0.2491671,ENSG00000165272,AQP3
